epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2878.29,1.48014,1.05331,0.00688,0.72416,0.49884,0.5698,0.33172,1.41497,1.16555,0.00818,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129
31,2971.8,1.4916,1.03116,0.00681,0.61468,0.53956,0.57779,0.34069,1.4113,1.09268,0.00822,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
32,3065.66,1.51101,1.06234,0.00683,0.69051,0.52167,0.57107,0.33837,1.41951,1.10802,0.00823,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931
33,3160.05,1.50103,1.03845,0.0069,0.76599,0.48243,0.57379,0.33521,1.41911,1.11005,0.00825,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
34,3254.07,1.48136,1.03204,0.00657,0.74795,0.5061,0.57797,0.33857,1.42226,1.04608,0.00846,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733
35,3347.94,1.47632,1.06629,0.00706,0.71268,0.51218,0.59764,0.35689,1.41003,1.07574,0.00829,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
36,3441.53,1.44815,0.99156,0.00682,0.79113,0.4902,0.59202,0.35823,1.40544,1.09855,0.0082,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
37,3535.15,1.46214,0.99375,0.00681,0.82498,0.52206,0.61676,0.35934,1.40677,1.06804,0.00828,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
38,3628.02,1.46017,1.01449,0.00695,0.71967,0.55115,0.60615,0.33664,1.40928,1.07117,0.0083,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337
39,3721.8,1.47675,1.00042,0.00683,0.74389,0.56175,0.63118,0.3461,1.38661,1.1366,0.00807,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
40,3814.67,1.4769,0.99986,0.0067,0.75404,0.50642,0.59776,0.36992,1.39816,1.16438,0.00808,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139
41,3908.35,1.45611,0.97455,0.00641,0.71359,0.53905,0.60189,0.3562,1.38981,1.06396,0.00797,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
